Cut,Bₙ (n≤6),Bₙ (n≤20),ξ₊ᴮ,ξ₋ᴮ,ξₜₒₜᴮ,Cₗᴮᴮ
Fiducial,0.777,0.943,0.306,0.261,0.176,0.299
Full_range,1.37e-05,1.08e-04,0.450,0.162,0.401,0.136
